number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,params_random_strength,user_attrs_mean_fit_time,user_attrs_mean_score_time,user_attrs_mean_test_score,user_attrs_split0_test_score,user_attrs_split1_test_score,user_attrs_split2_test_score,user_attrs_split3_test_score,user_attrs_split4_test_score,user_attrs_std_fit_time,user_attrs_std_score_time,user_attrs_std_test_score,system_attrs_terminator:cv_scores,system_attrs_tpe:relative_params:0,state
0,0.7670776799521444,2026-09-20 02:31:00.769690,2026-09-20 02:31:03.387965,0 days 00:00:02.618275,0.29826163136513073,3,164,2.0866386675400883,0.25978666071143064,0.08724665231224338,0.5164345741271973,0.0064070701599121095,0.7670776799521444,0.7575708554787985,0.7762519844270275,0.7666659319789134,0.7613550609506358,0.7735445669253468,0.04815572081642938,0.0016271950012170348,0.007060964607175561,"[0.7575708554787985, 0.7762519844270275, 0.7666659319789134, 0.7613550609506358, 0.7735445669253468]",,COMPLETE
1,0.7219415781437781,2026-09-20 02:31:03.387965,2026-09-20 02:31:05.468566,0 days 00:00:02.080601,0.9992508603400948,4,103,2.0823093213441184,0.019199851780039617,0.02490408860579169,0.40859599113464357,0.004582262039184571,0.7219415781437781,0.7126415083652944,0.7251685245970132,0.7282824006186652,0.7272215790478151,0.7163938780901025,0.015545920821632822,0.0019342219295982394,0.006257250137031939,"[0.7126415083652944, 0.7251685245970132, 0.7282824006186652, 0.7272215790478151, 0.7163938780901025]",,COMPLETE
2,0.7487847984753193,2026-09-20 02:31:05.468566,2026-09-20 02:31:11.254226,0 days 00:00:05.785660,0.9737427100419667,6,177,2.969867926317228,0.025278829616945775,2.6783770815687205,1.1460235118865967,0.008084774017333984,0.7487847984753193,0.7376748311195639,0.7523555067175485,0.7534059452775562,0.7450526600701914,0.7554350491917361,0.0216728187251099,0.005481217885384437,0.006567968048508324,"[0.7376748311195639, 0.7523555067175485, 0.7534059452775562, 0.7450526600701914, 0.7554350491917361]",,COMPLETE
3,0.7643016897976942,2026-09-20 02:31:11.254226,2026-09-20 02:31:16.574073,0 days 00:00:05.319847,0.09084253593739844,6,165,8.403828579061098,0.4150163326629894,3.4475608702181098,1.0551449298858642,0.006193923950195313,0.7643016897976942,0.758015862120659,0.7661175510199056,0.7610137442431634,0.7640784674944838,0.772282824110259,0.02962910236165668,0.0015233001928055968,0.004844954089465066,"[0.758015862120659, 0.7661175510199056, 0.7610137442431634, 0.7640784674944838, 0.772282824110259]",,COMPLETE
4,0.7639771482358724,2026-09-20 02:31:16.574073,2026-09-20 02:31:50.113681,0 days 00:00:33.539608,0.7008267271590665,9,164,3.3351130677558904,0.23648406131079114,0.002513898786636788,6.695090913772583,0.009545278549194337,0.7639771482358724,0.7497470995078309,0.7771058539421276,0.7649884702022147,0.7545540200205336,0.7734902975066548,0.0251065943690011,0.0018915570486170907,0.010537317750304398,"[0.7497470995078309, 0.7771058539421276, 0.7649884702022147, 0.7545540200205336, 0.7734902975066548]",,COMPLETE
5,0.7659205992925984,2026-09-20 02:31:50.114200,2026-09-20 02:31:53.492263,0 days 00:00:03.378063,0.029082755595781773,4,174,2.399935505073883,0.08172700018749589,1.0655897709640012,0.6682902812957764,0.005440998077392578,0.7659205992925984,0.7582606300534966,0.7723155671974296,0.7657638977718133,0.7609793484183831,0.7722835530218691,0.03343591272158899,0.0031028243948751726,0.005735824944629949,"[0.7582606300534966, 0.7723155671974296, 0.7657638977718133, 0.7609793484183831, 0.7722835530218691]",,COMPLETE
6,0.7614981331239931,2026-09-20 02:31:53.492263,2026-09-20 02:32:01.111952,0 days 00:00:07.619689,0.6310352531309374,6,234,1.747807482098436,0.2978573945072386,0.010423588252101032,1.5144856452941895,0.006704378128051758,0.7614981331239931,0.7544908567551161,0.7678011743551141,0.7651952969988065,0.7539104698551311,0.7660928676557979,0.04485944971452601,0.0009835219852512582,0.006019692531810168,"[0.7544908567551161, 0.7678011743551141, 0.7651952969988065, 0.7539104698551311, 0.7660928676557979]",,COMPLETE
7,0.7641663603827246,2026-09-20 02:32:01.113480,2026-09-20 02:32:06.162432,0 days 00:00:05.048952,0.4743489883221538,4,277,3.2990168507719986,0.34896296061312526,0.08392352799456096,1.0018111228942872,0.006956815719604492,0.7641663603827246,0.7535258940516266,0.7692992282541912,0.7611277459818018,0.7626878989489798,0.7741910346770232,0.031021587976086392,0.0004725896726261995,0.007091952858338825,"[0.7535258940516266, 0.7692992282541912, 0.7611277459818018, 0.7626878989489798, 0.7741910346770232]",,COMPLETE
8,0.7582157287399671,2026-09-20 02:32:06.162432,2026-09-20 02:33:01.342080,0 days 00:00:55.179648,0.35545854611495675,9,259,2.851316906726728,0.31865762044322354,0.3672306614991087,11.022445058822631,0.008461809158325196,0.7582157287399671,0.7447732514943651,0.7635655355765447,0.7576137012582673,0.7594409422061623,0.7656852131644951,0.13280361927788806,0.0015302476598953666,0.007307221228099692,"[0.7447732514943651, 0.7635655355765447, 0.7576137012582673, 0.7594409422061623, 0.7656852131644951]",,COMPLETE
9,0.7052086584743847,2026-09-20 02:33:01.342080,2026-09-20 02:33:04.045063,0 days 00:00:02.702983,0.9703428603133232,3,160,3.0599943014036977,0.01029981110069582,0.006010112733231875,0.5322952270507812,0.006345701217651367,0.7052086584743847,0.6928561149787665,0.7037106274969503,0.7124953529342587,0.7063107608094829,0.710670436152465,0.015358046833304254,0.0010955969809660312,0.006913334777570871,"[0.6928561149787665, 0.7037106274969503, 0.7124953529342587, 0.7063107608094829, 0.710670436152465]",,COMPLETE
