number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_mean_fit_time,user_attrs_mean_score_time,user_attrs_mean_test_score,user_attrs_split0_test_score,user_attrs_split1_test_score,user_attrs_split2_test_score,user_attrs_split3_test_score,user_attrs_split4_test_score,user_attrs_std_fit_time,user_attrs_std_score_time,user_attrs_std_test_score,system_attrs_terminator:cv_scores,system_attrs_tpe:relative_params:0,state
0,0.758933334036277,2026-09-20 02:29:10.319578,2026-09-20 02:29:13.859051,0 days 00:00:03.539473,0.6062131369961112,0.25978666071143064,6,51,164,31,0.003164029426393973,0.00506856740535218,0.6491308156825654,0.6623863220214844,0.04293241500854492,0.758933334036277,0.7541789662554322,0.7641597692967574,0.7537202386450875,0.7580822518335784,0.7645254441505295,0.020935263970060337,0.003310020411350683,0.004671017844770969,"[0.7541789662554322, 0.7641597692967574, 0.7537202386450875, 0.7580822518335784, 0.7645254441505295]",,COMPLETE
1,0.7727436466743354,2026-09-20 02:29:13.859051,2026-09-20 02:29:16.494430,0 days 00:00:02.635379,0.7363685680681982,0.03917919326904925,8,27,129,255,0.3723092189113378,7.851829133079064,0.6946266061726358,0.49355568885803225,0.0295560359954834,0.7727436466743354,0.7705988563548172,0.7743041824371658,0.7758007791239889,0.7687605949138867,0.7742538205418186,0.013408166080104525,0.0009756456015806614,0.002627804506919754,"[0.7705988563548172, 0.7743041824371658, 0.7758007791239889, 0.7687605949138867, 0.7742538205418186]",,COMPLETE
2,0.7558331700571679,2026-09-20 02:29:16.494874,2026-09-20 02:29:23.851695,0 days 00:00:07.356821,0.7276827600020671,0.4150163326629894,12,89,165,125,0.2665790459761077,2.047839031828718,0.5454212679686992,1.3956393718719482,0.07260169982910156,0.7558331700571679,0.7491414372865094,0.7631730923130551,0.7553901493588927,0.7538461558077324,0.7576150155196498,0.03517300051571378,0.003695052972232602,0.004603763947360905,"[0.7491414372865094, 0.7631730923130551, 0.7553901493588927, 0.7538461558077324, 0.7576150155196498]",,COMPLETE
3,0.7705364870790828,2026-09-20 02:29:23.852200,2026-09-20 02:29:27.480668,0 days 00:00:03.628468,0.6900997854043692,0.014792607053334782,7,56,181,183,0.1865058815997743,0.0013071668405063431,0.6071311735075093,0.6801690101623535,0.04333705902099609,0.7705364870790828,0.7651436623500851,0.7691583016692185,0.7746881646597429,0.7681055099153924,0.7755867968009752,0.011755903700712892,0.0020146337904142844,0.003990830955398445,"[0.7651436623500851, 0.7691583016692185, 0.7746881646597429, 0.7681055099153924, 0.7755867968009752]",,COMPLETE
4,0.7601779030231585,2026-09-20 02:29:27.481044,2026-09-20 02:29:31.778515,0 days 00:00:04.297471,0.9538515411813806,0.2978573945072386,5,29,234,129,0.5299102290634586,0.003601171085983087,0.8155176265654687,0.7984755516052247,0.055982351303100586,0.7601779030231585,0.7554172628502073,0.7603942884205601,0.7551649422455423,0.760909324618598,0.7690036969808844,0.026775039137330727,0.0022144145743124366,0.005025334014549699,"[0.7554172628502073, 0.7603942884205601, 0.7551649422455423, 0.760909324618598, 0.7690036969808844]",,COMPLETE
5,0.7631098928180814,2026-09-20 02:29:31.778515,2026-09-20 02:29:37.877167,0 days 00:00:06.098652,0.7275227446059738,0.06563797714611129,11,89,180,129,0.08388884234259575,0.026414000666291362,0.9054111643302918,1.1433550357818603,0.07169713973999023,0.7631098928180814,0.7600842767853292,0.7665965680072537,0.7628626045667423,0.76040707906396,0.7655989356671219,0.038768128542276604,0.006681117360055909,0.002640944688005221,"[0.7600842767853292, 0.7665965680072537, 0.7628626045667423, 0.76040707906396, 0.7655989356671219]",,COMPLETE
6,0.7624879147136328,2026-09-20 02:29:37.879170,2026-09-20 02:29:41.462153,0 days 00:00:03.582983,0.8535260527563854,0.01029981110069582,7,23,160,40,0.004786907593839938,0.7493081704440433,0.9851714301566616,0.6755387783050537,0.03785519599914551,0.7624879147136328,0.7548191456360148,0.7633427082786606,0.7656053024405417,0.7580808373719458,0.7705915798410012,0.01164924582879551,0.002937849910634209,0.005556087051813777,"[0.7548191456360148, 0.7633427082786606, 0.7656053024405417, 0.7580808373719458, 0.7705915798410012]",,COMPLETE
7,0.7598479154574207,2026-09-20 02:29:41.462153,2026-09-20 02:29:52.167892,0 days 00:00:10.705739,0.705006942677626,0.2659105103150496,10,89,299,97,0.029719658301928423,0.0010253446595891928,0.5102804968133774,2.0119139194488525,0.12286934852600098,0.7598479154574207,0.7537024093942676,0.7628814511953171,0.757588761147928,0.7635750679114579,0.7614918876381334,0.011293738239760626,0.0030662114536031317,0.00370587835704409,"[0.7537024093942676, 0.7628814511953171, 0.757588761147928, 0.7635750679114579, 0.7614918876381334]",,COMPLETE
8,0.7571321679480362,2026-09-20 02:29:52.168429,2026-09-20 02:29:54.036530,0 days 00:00:01.868101,0.645458431199833,0.015116981264264098,6,73,89,94,0.007344041388399693,0.022557953259015252,0.7580845237053432,0.3488356113433838,0.02074732780456543,0.7571321679480362,0.7566389383420519,0.7521636705800264,0.7578469865950259,0.7568162518085045,0.7621949924145722,0.00228449773083185,0.0007628618826771061,0.0031991311890698115,"[0.7566389383420519, 0.7521636705800264, 0.7578469865950259, 0.7568162518085045, 0.7621949924145722]",,COMPLETE
9,0.771588219271923,2026-09-20 02:29:54.036530,2026-09-20 02:29:58.186702,0 days 00:00:04.150172,0.6141170480979021,0.018588686850844627,8,74,169,191,0.008272319797486887,0.33175724208113616,0.9633542875725647,0.7812401294708252,0.0436495304107666,0.771588219271923,0.7657695322647791,0.7745984717684997,0.7719328954236647,0.7703301706801599,0.7753100262225114,0.019713768760590524,0.001961777336509246,0.0034197097381654246,"[0.7657695322647791, 0.7745984717684997, 0.7719328954236647, 0.7703301706801599, 0.7753100262225114]",,COMPLETE
10,0.7678497272743059,2026-09-20 02:29:58.186702,2026-09-20 02:30:00.943892,0 days 00:00:02.757190,0.9178810819521311,0.023359692734203717,10,57,106,242,0.0142002664504983,3.7186881398432705,0.5554523275888696,0.5217490196228027,0.02510519027709961,0.7678497272743059,0.7694665343199324,0.7668280674812946,0.7716066342378252,0.7607841923884934,0.770563207943984,0.013362077376541224,0.0006111222743196128,0.003874453877782869,"[0.7694665343199324, 0.7668280674812946, 0.7716066342378252, 0.7607841923884934, 0.770563207943984]","{""colsample_bytree"": 0.9178810819521311, ""learning_rate"": 0.023359692734203717, ""max_depth"": 10, ""min_child_samples"": 57, ""n_estimators"": 106, ""num_leaves"": 242, ""reg_alpha"": 0.0142002664504983, ""reg_lambda"": 3.7186881398432705, ""subsample"": 0.5554523275888696}",COMPLETE
11,0.7685038568736189,2026-09-20 02:30:00.944905,2026-09-20 02:30:04.615394,0 days 00:00:03.670489,0.6694926847247098,0.012462022630254022,7,87,182,195,0.0041078507051214444,0.4242515506115388,0.8055662110202099,0.6871133327484131,0.04279417991638183,0.7685038568736189,0.7645959035841557,0.7684681153029392,0.7716261758652448,0.7668872531964046,0.7709418364193505,0.01092288930353899,0.0004232116990582549,0.002591501648564294,"[0.7645959035841557, 0.7684681153029392, 0.7716261758652448, 0.7668872531964046, 0.7709418364193505]","{""colsample_bytree"": 0.6694926847247098, ""learning_rate"": 0.012462022630254022, ""max_depth"": 7, ""min_child_samples"": 87, ""n_estimators"": 182, ""num_leaves"": 195, ""reg_alpha"": 0.0041078507051214444, ""reg_lambda"": 0.4242515506115388, ""subsample"": 0.8055662110202099}",COMPLETE
12,0.7689053264781949,2026-09-20 02:30:04.621297,2026-09-20 02:30:08.498672,0 days 00:00:03.877375,0.5848784920317684,0.03245381344419627,8,79,162,212,0.008231575907762016,0.7994996300742355,0.9473855386966161,0.7304440498352051,0.04005889892578125,0.7689053264781949,0.7593004822366816,0.7752790614202635,0.7695689053957413,0.7689798098573937,0.7713983734808949,0.02232650848356495,0.0004919151225280617,0.0052827776429968795,"[0.7593004822366816, 0.7752790614202635, 0.7695689053957413, 0.7689798098573937, 0.7713983734808949]","{""colsample_bytree"": 0.5848784920317684, ""learning_rate"": 0.03245381344419627, ""max_depth"": 8, ""min_child_samples"": 79, ""n_estimators"": 162, ""num_leaves"": 212, ""reg_alpha"": 0.008231575907762016, ""reg_lambda"": 0.7994996300742355, ""subsample"": 0.9473855386966161}",COMPLETE
