number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_mean_fit_time,user_attrs_mean_score_time,user_attrs_mean_test_score,user_attrs_split0_test_score,user_attrs_split1_test_score,user_attrs_split2_test_score,user_attrs_split3_test_score,user_attrs_split4_test_score,user_attrs_std_fit_time,user_attrs_std_score_time,user_attrs_std_test_score,system_attrs_terminator:cv_scores,system_attrs_tpe:relative_params:0,state
0,0.7688928671615693,2026-09-20 02:27:47.038734,2026-09-20 02:27:50.426452,0 days 00:00:03.387718,0.7425935964879817,1.4913081568256537,0.25978666071143064,3,164,0.004337892866429276,2.6674683796980805,0.6597236255198837,0.6576437950134277,0.012430095672607422,0.7688928671615693,0.7594795503100931,0.7711652856272811,0.7715840499066174,0.7641993909480715,0.7780360590157838,0.09720713004049433,0.004112506304153166,0.006428741099880792,"[0.7594795503100931, 0.7711652856272811, 0.7715840499066174, 0.7641993909480715, 0.7780360590157838]",,COMPLETE
1,0.7642689296576234,2026-09-20 02:27:50.428465,2026-09-20 02:27:53.007645,0 days 00:00:02.579180,0.7533423071119278,1.1852974498463538,0.034769529451323486,5,94,0.014714978674351281,5.727371361363963,0.9996254301700473,0.5005796432495118,0.010426616668701172,0.7642689296576234,0.7618575594421517,0.7610330158418901,0.7666571719858956,0.7567089478625609,0.7750879531556184,0.03143434731328599,0.0017230719675528554,0.006264090359330913,"[0.7618575594421517, 0.7610330158418901, 0.7666571719858956, 0.7567089478625609, 0.7750879531556184]",,COMPLETE
2,0.770475627740516,2026-09-20 02:27:53.007645,2026-09-20 02:27:56.492607,0 days 00:00:03.484962,0.7284995945222815,4.622385925519213,0.4511901981755466,6,265,0.44991860984085646,1.9084253593739844,0.9761900399239738,0.6817506313323974,0.010848283767700195,0.770475627740516,0.7644508341249246,0.7768530945337682,0.7723319157528781,0.7634426310804137,0.7752996632105958,0.03884942767430837,0.0010816702470301837,0.005534444619506869,"[0.7644508341249246, 0.7768530945337682, 0.7723319157528781, 0.7634426310804137, 0.7752996632105958]",,COMPLETE
3,0.7666239941246491,2026-09-20 02:27:56.493617,2026-09-20 02:27:59.371914,0 days 00:00:02.878297,0.5500434735437423,3.5041336357953323,0.23648406131079114,9,164,0.030651119597330766,6.370109866459574,0.7615552810258455,0.5615828037261963,0.011068344116210938,0.7666239941246491,0.7618871819369051,0.7655382947865184,0.7651004439004319,0.7683519168419602,0.7722421331574298,0.033863030890879095,0.00067660371655722,0.0034781184899064246,"[0.7618871819369051, 0.7655382947865184, 0.7651004439004319, 0.7683519168419602, 0.7722421331574298]",,COMPLETE
4,0.7707359972934953,2026-09-20 02:27:59.373921,2026-09-20 02:28:02.729138,0 days 00:00:03.355217,0.866911457328936,4.33794705749712,0.04425350426075061,9,103,0.026858370778354897,3.4249359416402205,0.5145413777978909,0.6564534664154053,0.0114013671875,0.7707359972934953,0.7664756904825902,0.7771125624380296,0.7734244729500275,0.7675813698977281,0.7690858906991006,0.025382204219020522,0.0013671694555060388,0.003967700197854928,"[0.7664756904825902, 0.7771125624380296, 0.7734244729500275, 0.7675813698977281, 0.7690858906991006]",,COMPLETE
5,0.7676228598038227,2026-09-20 02:28:02.730143,2026-09-20 02:28:05.489538,0 days 00:00:02.759395,0.5695554693137801,2.591922669237184,0.1180619539877864,10,113,0.027727633144628148,5.743489883221538,0.9540337171584516,0.5358839511871338,0.011382389068603515,0.7676228598038227,0.7536291379860145,0.7737537176356929,0.7712756971312696,0.7648027299433702,0.7746530163227658,0.03169501146943618,0.0014678084046881733,0.007799116895139472,"[0.7536291379860145, 0.7737537176356929, 0.7712756971312696, 0.7648027299433702, 0.7746530163227658]",,COMPLETE
6,0.765915182642064,2026-09-20 02:28:05.490537,2026-09-20 02:28:09.408988,0 days 00:00:03.918451,0.8206173668697818,1.7772927305747839,0.31865762044322354,9,259,0.020663930769058845,1.0755119852161146,0.7275227446059738,0.7687421321868897,0.01154313087463379,0.765915182642064,0.7594742300641577,0.7695376960656967,0.7662984073774839,0.7653537727014568,0.7689118070015252,0.02623723191698841,0.0018503021534494477,0.0035791136748140008,"[0.7594742300641577, 0.7695376960656967, 0.7662984073774839, 0.7653537727014568, 0.7689118070015252]",,COMPLETE
7,0.7584371065622383,2026-09-20 02:28:09.409988,2026-09-20 02:28:10.999091,0 days 00:00:01.589103,0.8535260527563854,1.1334250732829654,0.06686898944023378,4,76,0.14321725685931255,10.92740598974496,0.9851714301566616,0.3073786735534668,0.008236885070800781,0.7584371065622383,0.750940480805394,0.7558722076329151,0.7647607039243434,0.7535349574003372,0.767077183048202,0.028113245833826968,0.0005887746883322048,0.0063474085411714095,"[0.750940480805394, 0.7558722076329151, 0.7647607039243434, 0.7535349574003372, 0.767077183048202]",,COMPLETE
8,0.7675421184197133,2026-09-20 02:28:11.000095,2026-09-20 02:28:17.292588,0 days 00:00:06.292493,0.5102804968133774,2.05006942677626,0.03789010207694847,9,260,0.029719658301928423,1.0271746844490317,0.9425054457299307,1.2370317935943604,0.01662731170654297,0.7675421184197133,0.7600621699710605,0.7728271921593223,0.7695902494452505,0.7636586161296306,0.7715723643933025,0.03147777241179069,0.00033679349755247665,0.004886736059377167,"[0.7600621699710605, 0.7728271921593223, 0.7695902494452505, 0.7636586161296306, 0.7715723643933025]",,COMPLETE
9,0.7495253852641994,2026-09-20 02:28:17.294094,2026-09-20 02:28:19.401136,0 days 00:00:02.107042,0.8579524580139598,2.580845237053432,0.015116981264264098,5,89,0.007460202002903142,3.886450385763304,0.6718032326058765,0.40726661682128906,0.01043248176574707,0.7495253852641994,0.7472472246213625,0.7450190314692128,0.7513727655463004,0.7481706740107478,0.7558172306733739,0.013832990436021738,0.0021596941290539795,0.0037505363771075683,"[0.7472472246213625, 0.7450190314692128, 0.7513727655463004, 0.7481706740107478, 0.7558172306733739]",,COMPLETE
