iter	MultiClass
0	1.412361497
1	1.292160207
2	1.213185872
3	1.146659157
4	1.077625825
5	1.017876272
6	0.9749684788
7	0.950439641
8	0.9297724232
9	0.8980531611
10	0.870487723
11	0.8540034926
12	0.8349621898
13	0.8177554233
14	0.799848811
15	0.7803746966
16	0.7511749075
17	0.7272333005
18	0.7115597524
19	0.6978312585
20	0.675480972
21	0.6630352951
22	0.6532835219
23	0.641943628
24	0.6303808284
25	0.6252924211
26	0.6184618839
27	0.6134841457
28	0.6070691029
29	0.6016473056
30	0.5921432635
31	0.5827159556
32	0.5744838654
33	0.5666442018
34	0.5616413204
35	0.5581985131
36	0.5560580962
37	0.5465612989
38	0.5414479069
39	0.5388652974
40	0.534544237
41	0.5311263541
42	0.528608218
43	0.5250451627
44	0.5234990765
45	0.5171477604
46	0.5124322839
47	0.5115186517
48	0.5053998924
49	0.5002173538
50	0.4960893951
51	0.4947729667
52	0.488948511
53	0.4853917387
54	0.4825126381
55	0.4772788679
56	0.4740177028
57	0.4695085897
58	0.4657456729
59	0.4619481012
60	0.4580019073
61	0.4546231431
62	0.4524021379
63	0.449948428
64	0.4466211651
65	0.4432410246
66	0.439925417
67	0.4369989327
68	0.4349811274
69	0.4330654758
70	0.4314496985
71	0.4291033863
72	0.4272483951
73	0.425458676
74	0.4234070332
75	0.4216512387
76	0.4200196136
77	0.4187453767
78	0.4169924049
79	0.4159257296
80	0.4142619629
81	0.4127813811
82	0.4115058416
83	0.4105766292
84	0.4097162662
85	0.4083728541
86	0.4070185366
87	0.4059601148
88	0.4054071344
89	0.4037252046
90	0.402836144
91	0.4018314051
92	0.4009553282
93	0.4002594097
94	0.3998335332
95	0.3977414448
96	0.3967613745
97	0.3956448448
98	0.3952235328
99	0.3945311204
100	0.3938615259
101	0.3926103802
102	0.3918857849
103	0.390646454
104	0.3897679051
105	0.3881136913
106	0.3869214894
107	0.3864661418
108	0.3859621022
109	0.3854180367
110	0.384266119
111	0.3833186817
112	0.3828028033
113	0.382212071
114	0.3812862843
115	0.3804319898
116	0.3797832366
117	0.378775288
118	0.3775054285
119	0.3768011588
120	0.375961974
121	0.3754286461
122	0.3748912828
123	0.3739843057
124	0.3734168731
125	0.3730538298
126	0.372615475
127	0.3721971272
128	0.3715881295
129	0.3703672754
130	0.369830881
131	0.3690939363
132	0.3686201422
133	0.368301654
134	0.3678696658
135	0.3671873351
136	0.3665781017
137	0.3660383145
138	0.3653502087
139	0.3649091302
140	0.3645938795
141	0.3640054977
142	0.3636326626
143	0.3632263029
