iter	Passed	Remaining
0	4	685
1	9	693
2	14	687
3	19	684
4	23	662
5	27	628
6	30	603
7	34	594
8	38	583
9	43	580
10	47	571
11	51	562
12	55	560
13	59	554
14	63	547
15	67	542
16	73	547
17	82	574
18	95	628
19	104	648
20	111	653
21	118	656
22	125	661
23	133	667
24	137	654
25	142	645
26	149	648
27	156	649
28	161	641
29	165	628
30	169	616
31	172	605
32	176	594
33	180	583
34	184	574
35	188	564
36	193	558
37	197	550
38	201	541
39	204	532
40	208	524
41	212	517
42	216	508
43	220	500
44	223	491
45	227	483
46	230	476
47	234	469
48	238	463
49	241	454
50	245	448
51	250	442
52	253	435
53	257	428
54	260	422
55	264	415
56	268	409
57	271	402
58	275	396
59	279	390
60	282	384
61	286	379
62	290	373
63	293	367
64	297	361
65	301	355
66	304	349
67	308	344
68	311	338
69	315	333
70	318	327
71	322	322
72	326	317
73	329	311
74	333	306
75	336	301
76	339	295
77	343	290
78	347	285
79	350	280
80	353	275
81	357	270
82	360	264
83	363	259
84	367	255
85	370	250
86	374	245
87	377	240
88	381	235
89	384	230
90	388	226
91	392	221
92	395	217
93	398	212
94	402	207
95	406	203
96	409	198
97	413	194
98	416	189
99	420	184
100	424	180
101	427	175
102	431	171
103	434	167
104	438	162
105	442	158
106	446	154
107	450	150
108	453	145
109	457	141
110	461	137
111	465	132
112	468	128
113	472	124
114	475	120
115	480	115
116	483	111
117	487	107
118	490	103
119	494	98
120	498	94
121	501	90
122	504	86
123	508	81
124	511	77
125	515	73
126	519	69
127	523	65
128	526	61
129	530	57
130	533	52
131	537	48
132	540	44
133	544	40
134	547	36
135	551	32
136	554	28
137	557	24
138	561	20
139	565	16
140	568	12
141	571	8
142	575	4
143	578	0
